case_id,act_name
1,g
1,u
1,c
1,i
1,d
1,k
1,b
1,x
2,u
2,e
2,c
2,i
2,d
2,k
2,ad
2,ac
2,b
2,x
3,e
3,g
3,c
3,al
3,d
3,a
3,u
3,u
3,a
3,u
3,i
3,k
3,b
3,x
4,m
4,c
4,g
4,d
4,f
4,a
4,ak
4,v
4,n
4,i
4,k
4,f
4,ak
4,n
4,f
4,ak
4,o
4,ai
4,ad
4,w
4,b
4,x
5,p
5,c
5,r
5,m
5,d
5,v
5,t
5,a
5,f
5,u
5,g
5,al
5,u
5,f
5,ak
5,o
5,u
5,z
5,i
5,k
5,ad
5,x
6,a
6,u
6,c
6,e
6,d
6,i
6,k
6,b
6,x
7,m
7,a
7,v
7,f
7,c
7,f
7,ak
7,a
7,d
7,a
7,n
7,f
7,u
7,ak
7,i
7,n
7,k
7,f
7,f
7,ak
7,n
7,f
7,ak
7,o
7,ai
7,ad
7,x
8,s
8,af
8,al
8,e
8,c
8,h
8,f
8,a
8,u
8,q
8,d
8,a
8,f
8,ak
8,o
8,ai
8,a
8,u
8,i
8,k
8,ad
8,ag
8,ah
8,ag
8,ag
8,ag
8,aj
8,ad
8,ac
8,ad
8,x
9,r
9,m
9,u
9,f
9,ak
9,a
9,e
9,p
9,v
9,t
9,c
9,i
9,o
9,g
9,k
9,ai
9,d
9,b
9,x
10,aa
10,s
10,f
10,g
10,j
10,a
10,c
10,e
10,ae
10,q
10,af
10,u
10,d
10,ak
10,y
10,n
10,f
10,u
10,i
10,ak
10,k
10,o
10,z
10,b
10,ac
10,b
10,x
11,m
11,g
11,a
11,u
11,y
11,ae
11,e
11,v
11,f
11,c
11,ak
11,a
11,d
11,i
11,k
11,n
11,f
11,ak
11,o
11,ai
11,ad
11,x
12,c
12,d
12,a
12,m
12,e
12,f
12,g
12,u
12,v
12,ak
12,a
12,o
12,u
12,ai
12,i
12,k
12,ad
12,x
13,s
13,q
13,g
13,af
13,f
13,h
13,u
13,c
13,d
13,f
13,a
13,a
13,ak
13,u
13,o
13,i
13,k
13,ai
13,b
13,x
14,p
14,g
14,a
14,c
14,d
14,u
14,t
14,ab
14,e
14,a
14,u
14,a
14,i
14,k
14,b
14,x
15,ae
15,c
15,y
15,d
15,u
15,al
15,a
15,i
15,j
15,k
15,b
15,x
16,aa
16,c
16,s
16,d
16,h
16,f
16,af
16,u
16,q
16,a
16,i
16,k
16,f
16,f
16,f
16,f
16,f
16,ak
16,o
16,ai
16,b
16,w
16,b
16,x
17,p
17,a
17,l
17,t
17,al
17,c
17,d
17,u
17,u
17,u
17,i
17,k
17,b
17,ac
17,ad
17,x
18,al
18,y
18,j
18,a
18,c
18,d
18,e
18,u
18,a
18,u
18,i
18,k
18,ad
18,ac
18,ad
18,x
19,a
19,u
19,y
19,ae
19,f
19,ak
19,j
19,i
19,k
19,al
19,c
19,g
19,m
19,n
19,d
19,f
19,f
19,v
19,f
19,f
19,f
19,f
19,ak
19,o
19,z
19,b
19,ac
19,ad
19,w
19,b
19,x
20,g
20,e
20,f
20,a
20,c
20,m
20,u
20,j
20,i
20,y
20,ae
20,ak
20,al
20,v
20,d
20,k
20,n
20,f
20,f
20,ak
20,o
20,ai
20,ad
20,w
20,b
20,w
20,b
20,ac
20,b
20,w
20,ad
20,x
21,a
21,m
21,c
21,g
21,d
21,f
21,i
21,v
21,e
21,k
21,f
21,ak
21,n
21,f
21,f
21,f
21,f
21,f
21,ak
21,o
21,z
21,b
21,ah
21,ag
21,ag
21,ag
21,ag
21,ag
21,ag
21,aj
21,ad
21,w
21,ad
21,x
22,al
22,f
22,e
22,c
22,y
22,m
22,u
22,d
22,ak
22,a
22,ae
22,j
22,n
22,f
22,v
22,f
22,u
22,a
22,ak
22,o
22,a
22,z
22,a
22,a
22,u
22,i
22,k
22,b
22,w
22,b
22,w
22,ad
22,ac
22,b
22,ah
22,b
22,w
22,b
22,x
23,q
23,y
23,c
23,al
23,f
23,aa
23,s
23,d
23,h
23,a
23,ae
23,ak
23,o
23,u
23,u
23,ai
23,a
23,u
23,a
23,i
23,k
23,b
23,ag
23,aj
23,b
23,x
24,c
24,e
24,d
24,al
24,a
24,g
24,m
24,f
24,v
24,i
24,ak
24,n
24,k
24,f
24,ak
24,n
24,f
24,ak
24,o
24,z
24,b
24,ag
24,ah
24,ag
24,aj
24,b
24,x
25,t
25,u
25,m
25,p
25,f
25,c
25,l
25,v
25,i
25,d
25,k
25,f
25,ak
25,o
25,z
25,b
25,x
26,a
26,c
26,e
26,d
26,al
26,g
26,u
26,i
26,k
26,b
26,ac
26,b
26,x
27,g
27,t
27,a
27,m
27,p
27,f
27,al
27,u
27,l
27,c
27,ak
27,o
27,i
27,v
27,ai
27,d
27,k
27,b
27,ac
27,ad
27,ac
27,b
27,x
28,a
28,y
28,ae
28,c
28,u
28,i
28,d
28,k
28,ad
28,ac
28,b
28,ac
28,ad
28,w
