case_id,act_name
1,k
1,m
1,a
1,n
1,u
2,a
2,m
2,k
2,e
2,n
2,t
2,n
2,t
2,n
2,u
3,q
3,a
3,o
3,m
3,k
3,b
3,w
3,h
3,b
3,w
3,i
3,v
3,d
3,k
3,q
3,m
3,o
3,a
3,f
3,j
3,c
4,k
4,m
4,o
4,q
4,j
4,f
4,y
4,g
4,l
4,x
4,s
5,k
5,q
5,o
5,m
5,l
5,p
5,s
5,y
5,g
5,f
5,x
6,m
6,k
6,a
6,q
6,o
6,b
6,w
6,h
6,b
6,w
6,i
6,v
6,d
6,a
6,m
6,k
6,o
6,q
6,c
6,g
6,r
7,m
7,o
7,q
7,k
7,b
7,w
7,h
7,b
7,w
7,i
7,v
7,d
7,q
7,o
7,a
7,k
7,m
7,b
7,w
7,i
7,v
7,d
7,m
7,a
7,k
7,b
7,w
7,h
7,b
7,w
7,h
7,b
7,w
7,h
7,b
7,w
7,i
7,v
7,d
7,o
7,a
7,m
7,q
7,k
7,n
7,u
8,m
8,a
8,k
8,b
8,w
8,i
8,v
8,d
8,m
8,a
8,k
8,b
8,w
8,h
8,b
8,w
8,i
8,v
8,d
8,m
8,k
8,q
8,o
8,b
8,w
8,i
8,v
8,d
8,m
8,q
8,o
8,a
8,k
8,n
8,e
8,t
8,n
8,u
9,q
9,o
9,k
9,m
9,a
9,b
9,w
9,v
9,i
9,d
9,m
9,a
9,o
9,q
9,k
9,p
9,r
9,f
9,g
9,j
10,a
10,k
10,m
10,b
10,w
10,h
10,b
10,w
10,v
10,i
10,d
10,k
10,m
10,o
10,q
10,a
10,b
10,w
10,v
10,i
10,d
10,a
10,m
10,k
10,o
10,q
10,l
10,r
10,j
10,s
10,p
10,y
10,x
11,q
11,o
11,k
11,m
11,n
11,e
11,u
12,a
12,m
12,k
12,b
12,w
12,h
12,b
12,w
12,h
12,b
12,w
12,h
12,b
12,w
12,h
12,b
12,w
12,i
12,v
12,d
12,a
12,m
12,k
12,p
12,g
12,j
12,r
12,l
12,y
12,x
12,s
13,k
13,m
13,o
13,a
13,q
13,b
13,w
13,h
13,b
13,w
13,h
13,b
13,w
13,h
13,b
13,w
13,i
13,v
13,d
13,q
13,m
13,a
13,k
13,o
13,r
13,c
13,g
13,j
13,y
14,k
14,m
14,o
14,q
14,a
14,n
14,e
14,u
15,a
15,o
15,q
15,k
15,m
15,c
15,r
15,f
15,j
16,o
16,k
16,a
16,q
16,m
16,b
16,w
16,h
16,b
16,w
16,v
16,i
16,d
16,m
16,k
16,a
16,b
16,w
16,i
16,v
16,d
16,a
16,o
16,m
16,k
16,q
16,n
16,u
17,k
17,q
17,m
17,o
17,b
17,w
17,h
17,b
17,w
17,h
17,b
17,w
17,v
17,i
17,d
17,k
17,m
17,q
17,o
17,b
17,w
17,i
17,v
17,d
17,k
17,o
17,m
17,q
17,n
17,t
17,n
17,u
18,k
18,a
18,q
18,o
18,m
18,b
18,w
18,h
18,b
18,w
18,h
18,b
18,w
18,h
18,b
18,w
18,h
18,b
18,w
18,i
18,v
18,d
18,q
18,k
18,m
18,a
18,o
18,b
18,w
18,h
18,b
18,w
18,i
18,v
18,d
18,a
18,k
18,o
18,q
18,m
18,l
18,x
18,s
18,p
18,y
18,j
18,r
19,m
19,a
19,o
19,k
19,q
19,e
20,q
20,m
20,k
20,o
20,l
20,y
20,j
20,x
20,g
20,f
20,s
21,k
21,a
21,m
21,g
21,c
21,y
21,f
22,a
22,o
22,q
22,m
22,k
22,b
22,w
22,i
22,v
22,d
22,m
22,k
22,q
22,o
22,a
22,j
22,f
22,r
22,y
22,c
23,k
23,o
23,a
23,m
23,q
23,c
23,j
23,g
23,y
23,f
24,o
24,q
24,m
24,k
24,b
24,w
24,v
24,i
24,d
24,m
24,q
24,o
24,k
24,b
24,w
24,i
24,v
24,d
24,q
24,o
24,m
24,k
24,b
24,w
24,v
24,i
24,d
24,q
24,k
24,m
24,o
24,r
24,y
24,c
24,f
24,j
25,o
25,m
25,k
25,q
25,b
25,w
25,v
25,i
25,d
25,k
25,a
25,q
25,m
25,o
25,e
26,q
26,a
26,o
26,m
26,k
26,f
26,r
26,c
26,j
26,y
27,k
27,a
27,m
27,e
27,n
27,t
27,n
27,u
28,k
28,q
28,m
28,o
28,a
28,b
28,w
28,h
28,b
28,w
28,h
28,b
28,w
28,h
28,b
28,w
28,h
28,b
28,w
28,h
28,b
28,w
28,i
28,v
28,d
28,a
28,q
28,m
28,k
28,o
28,b
28,w
28,i
28,v
28,d
28,k
28,m
28,a
28,b
28,w
28,h
28,b
28,w
28,i
28,v
